sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:27:23.535355+00:00,P2,9.73
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:27:23.535355+00:00,P1,14.13
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:27:24.561895+00:00,humidity,79.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:27:24.561895+00:00,temperature,23.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:30:02.045568+00:00,humidity,80.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:30:02.045568+00:00,temperature,23.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:32:30.564889+00:00,P2,7.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:32:30.564889+00:00,P1,12.37
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:35:01.165659+00:00,P2,8.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:35:01.165659+00:00,P1,13.43
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:35:02.771955+00:00,humidity,81.3
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:35:02.771955+00:00,temperature,23.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:37:35.942255+00:00,humidity,81.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:37:35.942255+00:00,temperature,22.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:42:39.405167+00:00,P2,9.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:42:39.405167+00:00,P1,16.53
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:42:41.280586+00:00,humidity,81.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:42:41.280586+00:00,temperature,22.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:47:41.623089+00:00,P2,9.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:47:41.623089+00:00,P1,17.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:52:44.884490+00:00,P2,10.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:52:44.884490+00:00,P1,19.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:52:47.344922+00:00,humidity,80.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:52:47.344922+00:00,temperature,23.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:57:56.099676+00:00,P2,9.97
42.0,SDS011,19.0,0.323,32.576,2018-04-03T12:57:56.099676+00:00,P1,14.97
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:00:26.807847+00:00,P2,11.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:00:26.807847+00:00,P1,17.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:00:31.029627+00:00,humidity,80.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:00:31.029627+00:00,temperature,23.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:03:01.027679+00:00,P2,10.83
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:03:01.027679+00:00,P1,18.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:03:03.158331+00:00,humidity,80.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:03:03.158331+00:00,temperature,23.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:05:36.736000+00:00,P2,11.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:05:36.736000+00:00,P1,18.03
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:08:06.966605+00:00,P2,9.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:08:06.966605+00:00,P1,16.33
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:08:10.320626+00:00,humidity,80.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:08:10.320626+00:00,temperature,23.7
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:10:41.260934+00:00,P2,7.63
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:10:41.260934+00:00,P1,12.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:13:14.360785+00:00,P2,5.77
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:13:14.360785+00:00,P1,12.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:15:47.789281+00:00,P2,6.33
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:15:47.789281+00:00,P1,10.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:25:46.470865+00:00,P2,5.47
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:25:46.470865+00:00,P1,8.87
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:25:47.741163+00:00,humidity,78.4
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:25:47.741163+00:00,temperature,24.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:30:48.892740+00:00,P2,4.63
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:30:48.892740+00:00,P1,8.67
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:33:17.896798+00:00,humidity,78.9
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:33:17.896798+00:00,temperature,24.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:35:49.204041+00:00,humidity,78.5
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:35:49.204041+00:00,temperature,23.8
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:43:27.529267+00:00,P2,9.17
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:43:27.529267+00:00,P1,14.77
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:43:31.909083+00:00,humidity,79.0
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:43:31.909083+00:00,temperature,24.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:51:01.486037+00:00,P2,8.23
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:51:01.486037+00:00,P1,18.17
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:51:02.797744+00:00,humidity,78.6
42.0,SDS011,19.0,0.323,32.576,2018-04-03T13:51:02.797744+00:00,temperature,24.1
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:05:59.616190+00:00,P2,7.2
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:05:59.616190+00:00,P1,10.47
42.0,SDS011,19.0,0.323,32.576,2018-04-03T14:10:59.719194+00:00,humidity,77.9
